problem_number,problem_area,problem_statement,option_1,option_2,option_3,correct_answer
23,Airspace Classification and Operating Requirements,(Refer to FAA-CT-8080-2H) What is the ﬂoor of the Savannah Class C airspace at the shelf area (outer circle)?,"1,300 feet AGL.","1,300 feet MSL.","1,700 feet MSL.",2
24,Airspace Classification and Operating Requirements,According to 14 CFR part 107 the remote pilot in command (PIC) of a small unmanned aircraft planning to operate within Class C airspace,must use a visual observer.,is required to ﬁle a ﬂight plan.,is required to receive ATC authorization.,3
25,Airspace Classification and Operating Requirements,(Refer to FAA-CT-8080-2H) The Fentress NALF Airport (NFE) is in what type of airspace?,Class C.,Class E.,Class G.,2
26,Airspace Classification and Operating Requirements,"(Prohibited, restricted, warning, military operations, alert, and controlled ﬁring.) (Refer to FAA-CT-8080-2H.) The chart shows a gray line with “VR1667, VR1617, VR1638, and VR1668.” Could this area present a hazard to the operations of a small UA?","No, all operations will be above 400 feet.","Yes, this is a Military Training Route from 1,500 feet AGL.","Yes, the deﬁned route provides traﬃc separation to manned aircraft.",2
27,Airspace Classification and Operating Requirements,"(Refer to FAA-CT-8080-2H.) During preﬂight planning, you plan to operate in R-2305. Where would you ﬁnd additional information regarding this airspace?",In the Aeronautical Information Manual.,In the Charts Supplements U.S.,In the Special Use Airspace area of the chart.,2
28,Airspace Classification and Operating Requirements,"(Prohibited, restricted, warning, military operations, alert, and controlled ﬁring.) (Refer to FAA-CT-8080-2H.) You have been hired by a farmer to use your small UA to inspect his crops. The area that you are to survey is in the Devil`s Lake West MOA, east of area 2. How would you ﬁnd out if the MOA is active?",Refer to the legend and call Flight Service.,This information is available in the Small UAS database.,In the Military Operations Directory.,1
29,Airspace Classification and Operating Requirements,"Your surveying company is a title sponsor for a race team at the Indianapolis 500. To promote your new aerial surveying department, you decide to video part of the race using a small UA. The FAA has issued a Temporary Flight Restriction (TFR) for the race in the area you plan to ﬂy. In this situation",you may ﬂy your drone in the TFR since your company is sponsoring a team at the race.,the TFR applies to all aircraft; you may not ﬂy in the area without a Certiﬁcate of Waiver or Authorization.,ﬂying your drone is allowed if you notify all non-participating people of the closed course UA operation.,2
30,Airspace Classification and Operating Requirements,(Refer to FAA-CT-8080-2H.) What is the required ﬂight visibility for a remote pilot operating an unmanned aircraft near the Plantation Airport (JYL)?,5 statute miles.,1 statute mile.,3 statute miles.,3
31,Airspace Classification and Operating Requirements,(Refer to FAA-CT-8080-2H.) Why would the small ﬂag at Lake Drummond of the sectional chart be important to a remote pilot?,"This is a VFR check point for manned aircraft, and a higher volume of air traﬃc should be expected there.",This is a GPS check point that can be used by both manned and remote pilots for orientation.,This indicates that there will be a large obstruction depicted on the next printing of the chart.,1
32,Airspace Classification and Operating Requirements,The NOTAM system including how to obtain an established NOTAM through Flight Service. (Refer to FAA-CT-8080-2H.) How would a remote PIC “CHECK NOTAMS” as noted in the CAUTION box regarding the unmarked balloon?,By utilizing the B4UFLY mobile application.,By contacting the FAA district oﬃce.,By obtaining a brieﬁng via an online source such as: 1800WXBrief.com.,3
33,Weather,Aviation routine weather reports (METAR). (Refer to FAA-CT-8080-2H.) What are the current conditions for Chicago Midway Airport (KMDW)? [METAR KLAX 121852Z 25004KT 6SM BR SCT007 SCT250 16/15 A2991 SPECI KMDW 121856Z 32005KT 1 1/2SM RA OVC007 17/16 A2980 RMK RAB35],"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 7000 feet overcast, visibility 1-1/2SM, heavy rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain. [Clever. Really clever. Looking at the other material, like LAX above which shows 6SM, that should have clued you in that the value for that place should be a number in statute miles.",1
34,Weather,Aviation routine weather reports (METAR). (Refer to FAA-CT-8080-2H.) The wind direction and velocity at KJFK is from [SPECI KJFK 121853Z 18004KT 1/2SM FG R04/2200 OVC005 20/18 A3006],180° true at 4 knots.,180° magnetic at 4 knots.,040° true at 18 knots.,1
35,Weather,What eﬀect does high density altitude have on the eﬃciency of a UA propeller?,Propeller eﬃciency is increased.,Propeller eﬃciency is decreased.,Density altitude does not aﬀect propeller eﬃciency.,2
36,Weather,"Atmospheric stability, pressure, and temperature. What are the characteristics of stable air?",Good visibility and steady precipitation.,Poor visibility and steady precipitation.,Poor visibility and intermittent precipitation.,2
37,Weather,"What are characteristics of a moist, unstable air mass?",Turbulence and showery precipitation.,Poor visibility and smooth air.,Haze and smoke.,1
38,Weather,You have received an outlook brieﬁng from ﬂight service through 1800wxbrief.com. The brieﬁng indicates you can expect a low-level temperature inversion with high relative humidity. What weather conditions would you expect?,"Smooth air, poor visibility, fog, haze, or low clouds.","Light wind shear, poor visibility, haze, and light rain.","Turbulent air, poor visibility, fog, low stratus type clouds, and showery precipitation.",1
39,Loading and Performance,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions speciﬁed in the",Pilot’s Operating Handbook or UAS Flight Manual.,Aeronautical Information Manual (AIM).,Aircraft Weight and Balance Handbook.,1
40,Loading and Performance,"A stall occurs when the smooth airﬂow over the unmanned airplane wing is disrupted, and the lift degenerates rapidly. This is caused when the wing",exceeds the maximum speed.,exceeds maximum allowable operating weight.,exceeds its critical angle of attack.,3
41,Loading and Performance,"The importance and use of performance data to predict the eﬀect on the aircraft’s performance of an sUAS. When operating an unmanned airplane, the remote pilot should consider that the load factor on the wings may be increased anytime",the CG is shifted rearward to the aft CG limit.,the airplane is subjected to maneuvers other than straight and level ﬂight.,the gross weight is reduced.,2
42,Loading and Performance,"(Refer to FAA-CT-8080-2H.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30° banked turn while maintaining altitude?",34 pounds.,47 pounds.,38 pounds.,3
43,Operations,(Refer to FAA-CT-8080-2H.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midﬁeld left downwind to RWY 13. Where would the aircraft be relative to the runway?,The aircraft is East.,The aircraft is South.,The aircraft is West.,1
44,Operations,"(Refer to FAA-CT-8080-2H.) After receiving authorization from ATC to operate a small UA near Minot International airport (MOT) while the control tower is operational, which radio communication frequency could be used to monitor manned aircraft and ATC communications?",UNICOM 122.95,ASOS 118.725.,CT-118.2.,3
45,Operations,(Refer to FAA-CT-8080-2H.) What airport is located approximately 47 (degrees) 40 (minutes) N latitude and 101 (degrees) 26 (minutes) W longitude?,Mercer County Regional Airport.,Semshenko Airport.,Garrison Airport.,3
46,Operations,(Refer to FAA-CT-8080-2H.) At Coeur D`Alene which frequency should be used as a Common Traﬃc Advisory Frequency (CTAF) to monitor airport traﬃc?,122.05 MHz.,135.075 MHz.,122.8 MHz.,3
47,Operations,(Refer to FAA-CT-8080-2H.) A small UA is being launched 2 NM northeast of the town of Hertford. What is the height of the highest obstacle?,399 feet MSL.,500 feet MSL.,500 feet AGL.,3
48,Operations,"(Refer to FAA-CT-8080-2H.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you receive prior to ﬂying your unmanned aircraft in this area?",Authorization from the military.,Authorization from ATC.,Authorization from the National Park Service.,2
49,Operations,"(Refer to FAA-CT-8080-2H, and Legend 1.) For information about the parachute operations at Tri-County Airport, refer to",notes on the border of the chart.,Chart Supplements U.S.,the Notices to Airmen (NOTAM) publication.,2
50,Operations,(Refer to FAA-CT-8080-2H.) What class of airspace is associated with SIOUX GATEWAY/COL DAY (SUX) Airport?,Class B airspace.,Class C airspace.,Class D airspace.,3
51,Operations,(Refer to FAA-CT-8080-2H.) What type of airport is Card Airport?,Public towered.,Public non-towered.,Private non-towered.,3
52,Operations,"(Refer to FAA-CT-8080-2H.) With ATC authorization, you are operating your small unmanned aircraft approximately 4 SM southeast of Elizabeth City Regional Airport (ECG). What hazard is indicated to be in that area?",High density military operations in the vicinity.,"Unmarked balloon on a cable up to 3,008 feet AGL.","Unmarked balloon on a cable up to 3,008 feet MSL.",3
53,Operations,"(Refer to FAA-CT-8080-2H, Figure 26.) What does the line of latitude at area 4 measure?",The degrees of latitude east and west of the Prime Meridian.,The degrees of latitude north and south from the equator.,"The degrees of latitude east and west of the line that passes through Greenwich, England.",2
54,Operations,The most comprehensive information on a given airport is provided by,the Chart Supplements U.S. (formerly Airport Facility Directory).,Notices to Airmen (NOTAMS).,Terminal Area Chart (TAC).,1
55,Operations,"When using a small UA in a commercial operation, who is responsible for brieﬁng the participants about emergency procedures?",The FAA inspector-in-charge.,The lead visual observer.,The remote PIC.,3
56,Operations,"To avoid a possible collision with a manned airplane, you estimate that your small UA climbed to an altitude greater than 600 feet AGL. To whom must you report the deviation?",Air Traﬃc Control.,The National Transportation Safety Board.,Upon request of the Federal Aviation Administration.,3
57,Operations,What precautions should a remote PIC do to prevent possible inﬂight emergencies when using lithium-based batteries?,Store the batteries in a freezer to allow proper recharging.,Follow the manufacturers recommendations for safe battery handling.,Allow the battery to charge until it reaches a minimum temperature of 100 °.,2
58,Operations,"Safety is an important element for a remote pilot to consider prior to operating an unmanned aircraft system. To prevent the ﬁnal “link” in the accident chain, a remote pilot must consider which methodology?",Crew Resource Management.,Safety Management System.,Risk Management.,3
59,Operations,A local TV station has hired a remote pilot to operate their small UA to cover breaking news stories. The remote pilot has had multiple near misses with obstacles on the ground and two small UAS accidents. What would be a solution for the news station to improve their operating safety culture?,The news station should implement a policy of no more than ﬁve crashes/ incidents within 6 months.,The news station does not need to make any changes; there are times that an accident is unavoidable.,The news station should recognize hazardous attitudes and situations and develop standard operating procedures that emphasize safety.,3
60,Operations,"When adapting crew resource management (CRM) concepts to the operation of a small UA, CRM must be integrated into",the ﬂight portion only.,all phases of the operation.,the communications only.,2
61,Operations,When a remote pilot-in-command and a visual observer deﬁne their roles and responsibilities prior to and during the operation of a small UA is a good use of,Crew Resource Management.,Authoritarian Resource Management.,Single Pilot Resource Management.,1
62,Operations,Identify the hazardous attitude or characteristic a remote pilot displays while taking risks in order to impress others?,Impulsivity.,Invulnerability.,Macho.,3
63,Operations,"You have been hired as a remote pilot by a local TV news station to ﬁlm breaking news with a small UA. You expressed a safety concern and the station manager has instructed you to “ﬂy ﬁrst, ask questions later.” What type of hazardous attitude does this attitude represent?",Machismo.,Invulnerability.,Impulsivity.,3
64,Operations,Which is true regarding the presence of alcohol within the human body?,small amount of alcohol increases vision acuity.,Consuming an equal amount of water will increase the destruction of alcohol and alleviate a hangover.,Judgment and decision-making abilities can be adversely aﬀected by even small amounts of alcohol.,3
65,Operations,"You are a remote pilot for a co-op energy service provider. You are to use your UA to inspect power lines in a remote area 15 hours away from your home oﬃce. After the drive, fatigue impacts your abilities to complete your assignment on time. Fatigue can be recognized",easily by an experienced pilot.,as being in an impaired state.,by an ability to overcome sleep deprivation.,2
66,Operations,Which technique should a remote pilot use to scan for traﬃc? A remote pilot should,systematically focus on diﬀerent segments of the sky for short intervals.,concentrate on relative movement detected in the peripheral vision area.,continuously scan the sky from right to left.,1
67,Operations,"When preparing for a night ﬂight, what should an sUAS pilot be aware of after assembling and conducting a preﬂight of an aircraft while using a bright ﬂashlight or work light?","Once adapted to darkness, a persons eyes are relatively immune to bright lights.",It takes approximately 30 minutes for a persons eyes to fully adapt to darkness.,The person should use a ﬂash light equipped with LED lights to facilitate their night vision.,2
68,Operations,Under what condition should the operator of a small UA establish scheduled maintenance protocol?,When the manufacturer does not provide a maintenance schedule.,UAS does not need a required maintenance schedule.,"When the FAA requires you to, following an accident.",1
69,Operations,What actions should the operator of an sUAS do if the manufacturer does not provide information about scheduled maintenance?,The operator should contact the FAA for a minimum equipment list.,The operator should establish a scheduled maintenance protocol.,The operator should contact the NTSB for component failure rates for their speciﬁc sUAS.,2
70,Operations,"According to 14 CFR part 107, the responsibility to inspect the small UAS to ensure it is in a safe operating condition rests with the",remote pilot-in-command.,visual observer.,owner of the small UAS.,1
